#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 13 50 209  4.8  5.7 99.00 99.00 99.00 999 1012.0 999.0  13.1 999.0 99.0 99.00 
2022 01 01 14 00 210  4.6  5.4 99.00 99.00 99.00 999 1012.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 14 10 209  4.9  5.9 99.00 99.00 99.00 999 1012.2 999.0  13.0 999.0 99.0 99.00 
2022 01 01 14 20 209  5.0  5.8 99.00 99.00 99.00 999 1012.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 14 30 213  4.9  5.8 99.00 99.00 99.00 999 1012.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 14 40 214  5.2  6.5  0.83  6.67  4.89 136 1012.3 999.0  12.9 999.0 99.0 99.00 
2022 01 01 14 50 214  5.5  6.5 99.00 99.00 99.00 999 1012.3 999.0  12.9 999.0 99.0 99.00 
2022 01 01 15 00 214  5.1  6.0 99.00 99.00 99.00 999 1012.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 10 209  4.8  5.8 99.00 99.00 99.00 999 1012.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 20 200  4.7  5.5 99.00 99.00 99.00 999 1011.8 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 30 200  4.9  6.1 99.00 99.00 99.00 999 1011.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 40 204  5.2  6.5  0.83 12.90  4.69  84 1011.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 15 50 207  5.7  6.7 99.00 99.00 99.00 999 1011.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 00 205  5.8  7.1 99.00 99.00 99.00 999 1011.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 10 207  6.4  7.7 99.00 99.00 99.00 999 1010.8 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 20 202  6.7  7.8 99.00 99.00 99.00 999 1010.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 30 199  6.9  8.2 99.00 99.00 99.00 999 1010.2 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 40 203  7.0  8.3  0.94 12.90  4.46  98 1009.9 999.0  13.0 999.0 99.0 99.00 
2022 01 01 16 50 204  6.7  9.0 99.00 99.00 99.00 999 1009.6 999.0  13.1 999.0 99.0 99.00 
2022 01 01 17 00 201  6.4  7.7 99.00 99.00 99.00 999 1009.5 999.0  13.1 999.0 99.0 99.00 
2022 01 01 17 10 200  6.4  8.4 99.00 99.00 99.00 999 1009.4 999.0  13.0 999.0 99.0 99.00 
2022 01 01 17 20 204  6.5  7.6 99.00 99.00 99.00 999 1009.2 999.0  13.0 999.0 99.0 99.00 
2022 01 01 17 30 205  6.7  8.1 99.00 99.00 99.00 999 1009.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 17 40 203  6.7  8.1  1.05  5.00  4.42 169 1008.9 999.0  13.0 999.0 99.0 99.00 
2022 01 01 17 50 205  6.7  8.0 99.00 99.00 99.00 999 1009.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 18 00 207  6.5  7.9 99.00 99.00 99.00 999 1008.8 999.0  13.0 999.0 99.0 99.00 
2022 01 01 18 10 202  7.1  8.7 99.00 99.00 99.00 999 1008.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 18 20 196  7.0  8.6 99.00 99.00 99.00 999 1008.3 999.0  13.0 999.0 99.0 99.00 
2022 01 01 18 30 194  7.2  8.7 99.00 99.00 99.00 999 1008.2 999.0  13.0 999.0 99.0 99.00 
2022 01 01 18 40 199  7.2  8.9  1.12  5.88  4.38 174 1008.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 18 50 198  6.7  8.1 99.00 99.00 99.00 999 1008.2 999.0  13.0 999.0 99.0 99.00 
2022 01 01 19 00 200  7.0  8.5 99.00 99.00 99.00 999 1008.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 19 10 200  7.4  8.6 99.00 99.00 99.00 999 1008.1 999.0  13.0 999.0 99.0 99.00 
2022 01 01 19 20 199  7.6  9.1 99.00 99.00 99.00 999 1007.8 999.0  13.0 999.0 99.0 99.00 
2022 01 01 19 30 201  7.6  9.2 99.00 99.00 99.00 999 1008.0 999.0  13.0 999.0 99.0 99.00 
2022 01 01 19 40 200  7.6  9.7  1.27  5.56  4.49 172 1008.0 999.0  13.1 999.0 99.0 99.00 
2022 01 01 19 50 200  8.0  9.7 99.00 99.00 99.00 999 1007.7 999.0  13.1 999.0 99.0 99.00 
2022 01 01 20 00 199  8.5 10.6 99.00 99.00 99.00 999 1007.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 20 10 199  9.2 11.3 99.00 99.00 99.00 999 1007.4 999.0  13.0 999.0 99.0 99.00 
2022 01 01 20 20 201  9.4 11.9 99.00 99.00 99.00 999 1007.5 999.0  13.1 999.0 99.0 99.00 
2022 01 01 20 30 202  9.1 10.9 99.00 99.00 99.00 999 1007.6 999.0  13.1 999.0 99.0 99.00 
2022 01 01 20 40 203  8.7 10.7  1.39  5.56  4.55 190 1007.6 999.0  13.1 999.0 99.0 99.00 
2022 01 01 20 50 204  8.6 10.7 99.00 99.00 99.00 999 1007.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 21 00 205  8.6 11.7 99.00 99.00 99.00 999 1007.5 999.0  13.0 999.0 99.0 99.00 
2022 01 01 21 10 205  8.7 10.6 99.00 99.00 99.00 999 1007.6 999.0  13.0 999.0 99.0 99.00 
2022 01 01 21 20 206  8.7 10.6 99.00 99.00 99.00 999 1007.7 999.0  13.0 999.0 99.0 99.00 
2022 01 01 21 30 206  9.0 11.1 99.00 99.00 99.00 999 1007.7 999.0  13.0 999.0 99.0 99.00 
